Experiment  Organism
556 Acidaminobacter
7353	Negativibacillus
8645	Neisseria
3394	Neisseria
622	Ochrobactrum
9733	Okubovirus
9718	Orthobunyavirus
7354	Oscillibacter
1840	Oscillibacter
9385	Paenibacillus
625	Parabacteroides
9958	Parabacteroides
7355	Parabacteroides
8590	Parabacteroides
9667	Paracoccus
650	Paraprevotella
623	Paraprevotella
4058	Parasutterella
1843	Parvimonas
7240	Parvimonas
4106	Parvimonas
3391	Parvimonas
7332	Parvimonas
3992	Parvimonas
4110	Parvimonas
9298	Parvimonas micra
2803	Parvimonas micra
4403	Parvimonas micra
581	Pedobacter
9668	Peptoniphilus
7244	Peptostreptococcus
632	Peptostreptococcus
4064	Peptostreptococcus
578	Peptostreptococcus
7333	Peptostreptococcus
4107	Peptostreptococcus
1842	Peptostreptococcus
641	Peptostreptococcus
9296	Peptostreptococcus anaerobius
5208	Peptostreptococcus stomatis
5222	Peptostreptococcus stomatis
4404	Peptostreptococcus stomatis
9295	Peptostreptococcus stomatis
2806	Peptostreptococcus stomatis
9390	Phascolarctobacterium
10247	Phascolarctobacterium
624	Phascolarctobacterium
557	Phascolarctobacterium
9303	Phascolarctobacterium succinatutens
9737	Phikmvvirus
9722	Phikzvirus
6190	Pisolithus
3960	Porphyromonas
4060	Porphyromonas
1489	Porphyromonas
1841	Porphyromonas
3957	Porphyromonas
642	Porphyromonas
7247	Porphyromonas
9666	Porphyromonas
5209	Porphyromonas asaccharolytica
4401	Porphyromonas asaccharolytica
8646	Porphyromonas gingivalis
9672	Porphyromonas gingivalis
9305	Porphyromonas uenonis
598	Prevotella
3396	Prevotella
4406	Prevotella
7356	Prevotella
221	Prevotella
545	Prevotella copri
9387	Prevotella copri
9386	Prevotella stercorea
594	Propionibacterium
4415	Providencia
6185	Pseudeurotiaceae
550	Pseudobutyrivibrio ruminis
7357	Pseudoflavonifractor
614	Pseudomonas
7358	Pseudomonas
7245	Pseudomonas
3959	Pseudomonas
592	Pseudomonas
600	Pseudomonas
591	Psychrobacter
9726	Punavirus
589	Rahnella
9736	Ravinvirus
7359	Rhodococcus
6191	Rhodotorula
