1002340.3,745312,1306733,1238576,727042,4017663,6,56,257,577,104,710
1005043.3,431569,338124,296716,404950,1471344,3,39,290,93,19,114
1009370.3,523351,569583,497197,500032,2090151,7,66,403,267,46,247
1009858.3,227724,84599,67567,198324,578214,5,32,194,121,13,66
102897.3,1013529,2550103,2609944,1052728,7226304,15,172,435,756,215,1980
1044999.3,843851,936574,837758,834718,3452901,27,127,769,440,104,524
1051646.3,1288624,1111177,1008220,1225473,4633494,60,252,1438,1170,233,918
1051646.9,1361239,1172303,1063338,1292538,4889418,62,264,1511,1228,243,966
1079994.3,372477,895292,926022,372413,2566204,8,32,106,363,139,659
1084662.5,632294,1399945,1424398,605996,4062633,2,19,52,492,104,665
1088869.3,501540,781015,769788,537356,2589699,14,132,463,389,84,738
1094174.3,707136,1274913,1238439,709074,3929562,6,33,209,395,72,461
1117646.3,1219226,715341,577988,1026353,3538908,36,115,1036,886,121,368
1120983.3,610402,1267066,1315113,635503,3828084,4,111,437,406,108,1030
1121035.3,604693,1137478,1222990,580284,3545445,5,22,154,488,97,396
1121859.3,1352275,1139593,973024,1208931,4673610,35,96,1094,641,139,380
1122941.3,1188005,673385,550550,1060368,3472305,14,79,623,725,58,246
1141660.3,895069,624930,537682,875203,2931927,32,152,912,524,90,420
1141662.3,1109243,808915,704108,1094713,3716979,32,164,985,641,122,504
1141663.3,1075513,804475,705075,1039162,3622896,41,173,892,560,113,518
1144304.3,753667,1638463,1745807,724580,4862517,1,47,148,573,157,934
1144305.3,818923,1562550,1652299,784525,4818297,13,78,304,653,172,1023
1144306.3,1083396,1699380,1767673,1115414,5665863,15,214,869,551,140,1541
1144307.3,698356,1292713,1288120,710013,3989202,4,37,169,127,20,203
1144308.3,1494622,1428240,1200053,1356762,5479677,27,210,1272,686,166,1056
1144313.4,1561974,852914,680245,1349202,4444335,30,119,1085,850,111,353
1144314.3,1251923,1934526,2023750,1284261,6494460,11,210,1002,697,185,1774
1144315.3,911922,1799150,1855913,846236,5413221,5,62,259,786,194,1054
1144316.3,1331096,806988,674327,1111478,3923889,39,185,1297,790,96,432
1144317.3,995504,2077123,2170015,954299,6196941,8,42,218,787,193,948
1144318.3,786336,1423484,1491453,729154,4430427,5,32,195,476,109,457
1144319.3,974255,1455855,1495235,906524,4831869,6,57,318,508,115,740
1144342.3,797800,1421763,1448921,763476,4431960,3,27,180,606,142,756
1144343.3,1018434,1235462,1163126,1059617,4476639,38,285,1254,766,165,1134
1144888.4,417664,209211,164959,355795,1147629,6,30,248,231,16,70
1150862.3,1033885,1691470,1708790,1016711,5450856,10,56,572,798,174,834
1156986.4,393950,280275,254845,384654,1313724,3,42,354,127,18,112
116598.26,363148,202687,146670,300013,1012089,15,38,297,266,28,93
1174529.3,309919,207469,169672,315840,1002900,20,80,526,254,57,228
1177185.3,950469,842679,727262,803200,3323610,21,162,1173,316,75,600
